experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
mediatek,none,none,none,none,"Dates Employed
Nov 2010 – Present",,,,,"algorithm,engineer",none,none,none,none,national taiwan university,national chiao tung university,none,"algorithm,engineer,mediatek"
dynapack technology,agtop technology,silicon integrated systems.,none,none,"Dates Employed
Oct 2019 – Present","Dates Employed
Jun 2014 – Jan 2019","Dates Employed
Dec 2007 – Jan 2009",,,engineer,"firmware,engineer","digital,design,engineer",none,none,syracuse university,中原大學,none,"dynapack,technology,engineer"
viscovery,trend micro,"academia sinica, taiwan",none,none,"Dates Employed
Oct 2016 – May 2018","Dates Employed
Dec 2015 – Sep 2016","Dates Employed
Oct 2012 – Dec 2015",,,"algorithm,engineer","software,engineer","research,assistant",none,none,national taiwan university,national taiwan university,none,"algorithm,engineer"
kronos research,"industrial technology research institute (itri)(工業技術研究院, 工研院)",ministry of science and technology (taiwan),none,none,"Dates Employed
Jul 2019 – Present","Dates Employed
Jul 2018 – Dec 2018","Dates Employed
Jul 2015 – Feb 2016",,,"quantitative,trader","autonomous,driving,rd,intern","project,lead",none,none,national chiao tung university,national yunlin university of science and technology,none,"quant,kronos,research"
wfc wenfeng asset management,trendforce corporation,garmin international,avermedia,none,"Dates Employed
Oct 2018 – Present","Dates Employed
Feb 2018 – Jul 2018","Dates Employed
Jul 2014 – Apr 2017","Dates Employed
Dec 2012 – Mar 2014",,"quantitative,researcher","data,scientist","software,engineer","software,engineer",none,national taiwan university,國立臺灣大學,taipei municipal jiang uo highschool,"wfc,wenfeng,asset,management,quantitative,researcher"
htc,drone dynamics,"aten international co., ltd.",tsmc,none,"Dates Employed
Nov 2017 – Nov 2018","Dates Employed
Nov 2016 – Nov 2017","Dates Employed
Oct 2013 – Nov 2016","Dates Employed
Jul 2012 – Sep 2013",,"algorithm,engineer","lead,engineer","senior,software,engineer","automation,engineer",none,national chiao tung university,udacity,udacity,"algorithm,engineer"
xueyue technology,moskastudio,national taiwan university,none,none,"Dates Employed
May 2013 – Present","Dates Employed
Jun 2012 – Present","Dates Employed
Aug 2011 – Feb 2013",,,ceo,cofounder,"website,developer",none,none,national taiwan university,national taiwan university,none,"ceo,at,zuvio,co,ltd"
mobvoi go out and ask,"olami 台灣 - via technologies, inc.",shanghai liantong,"via technologies, inc.",gigabyte,"Dates Employed
Sep 2018 – Present","Dates Employed
Oct 2014 – Jul 2018","Dates Employed
Jan 2013 – Sep 2014","Dates Employed
Jun 2010 – Dec 2012","Dates Employed
Sep 2005 – Jun 2010","director,of,business,development,taiwan,subsidiary","olami,ai,platform,head,of,product,and,marketing","special,assistant,to,ceo","technical,project,manager,cpuchipsetsocembedded","software,engineer",shih hsin university,景文科技大學,oriental institute of technology,"director,of,business,development,at,mobvoi,taiwan,ai,voice,speech,recognition,nlp,nlu,chatbot,machine,learning"
friends technologies,"maicoin, ltd.",htc,maicoin,everyday.me (y combinator-backed),"Dates Employed
Sep 2016 – Present","Dates Employed
2016 – Present","Dates Employed
2015 – 2016","Dates Employed
2014 – 2015","Dates Employed
Mar 2012 – 2014","vp,of,engineering","vp,of,engineering","manager,ios,platform,studio,engineering,healthcare","director,of,engineering","cofounder,cto",stanford university,y combinator,national chengchi university,"vp,of,engineering"
applied materials corporation,dowdupont,dupont,complain,united universities ticket selling platform,"Dates Employed
2016 – Present","Dates Employed
2015 – 2016","Dates Employed
2015","Dates Employed
2013 – 2015","Dates Employed
2010 – 2013","senior,regional,sales,manager,computer,vision,and,ai,solutions","apac,global,account,manager,telecom,semiconductor,consumer,electronics","technical,sales","application,leader,machine,vision,solutions",cofounder,purdue university,national cheng kung university,none,"senior,regional,sales,manager,machine,vision,high,capital,equipment,machine,learning,software,licensing"
yaoxin technology,mcoretek,none,none,none,"Dates Employed
Dec 2017 – Present","Dates Employed
Dec 2017 – Present",,,,engineer,"algorithm,engineer",none,none,none,national chiao tung university,national central university,none,"mcoretek,algorithm,engineer"
kronos research,htc vive,some limited,styleme,"academia sinica, taiwan","Dates Employed
Dec 2019 – Present","Dates Employed
Jan 2019 – Dec 2019","Dates Employed
Nov 2017 – Jan 2019","Dates Employed
Nov 2017 – Jan 2019","Dates Employed
Jul 2015 – Oct 2017","quantitative,developer","sr,software,engineer","software,engineer","software,engineer","research,assistant",tunghai university,tunghai university,none,"kronos,research,quantitative,developer"
avivid innovative media,none,none,none,none,"Dates Employed
Nov 2019 – Feb 2020",,,,,"assistant,system,engineer",none,none,none,none,national taiwan university of science and technology,none,none,"i,'m,learning,ai,ml,development"
google,aetherai 雲象科技,national taiwan university,ntuee - web programming seminar,none,"Dates Employed
Jul 2020 – Present","Dates Employed
Feb 2020 – Jul 2020","Dates Employed
Oct 2019 – Jul 2020","Dates Employed
Sep 2016 – Jun 2017",,"software,engineer,iii","software,engineer","research,assistant","associate,instructor",none,national taiwan university,none,none,"research,assistant,at,national,taiwan,university"
ikala,gamania,google,google taiwan r&d center,none,"Dates Employed
Feb 2012 – Present","Dates Employed
Feb 2012 – Present","Dates Employed
Aug 2007 – Feb 2012","Dates Employed
Jul 2006 – Sep 2006",,"cofounder,ceo","board,supervisor","software,engineer","software,engineer",none,stanford university,national taiwan university,none,"co,founder,ceo,at,ikala"
motorola mobility,ttpcom,institute for information industry,none,none,"Dates Employed
Jun 2006 – Oct 2009","Dates Employed
Jan 2005 – Jun 2006","Dates Employed
May 2000 – Sep 2003",,,"sr,software,engineer","software,support,engineer","software,engineer",none,none,national chung cheng university,none,none,"natural,language,processing,motorola,software,development,oss,ai,machine,learning,deep,learning,nlu,chatbot"
funwish corp.,national chengchi university,"school of continuing education, chinese culture university",none,none,"Dates Employed
Apr 2008 – Aug 2013","Dates Employed
Oct 2005 – 2006","Dates Employed
Jun 2005 – Dec 2005",,,"founder,ceo","online,course,teaching,assistant","interactive,elearning,platform,developer",none,none,national chengchi university,national chengchi university,none,"co,founder,ceo,gdp,inc"
"novatek technology co., ltd.",none,none,none,none,"Dates Employed
Dec 2012 – Present",,,,,"algorithm,engineer",none,none,none,none,national tsinghua university,建國中學,none,"novatek,algorithm,engineer"
delta electronics,none,none,none,none,"Dates Employed
Sep 2016 – Sep 2018",,,,,"sr,research,engineer",none,none,none,none,national central university,國立中央大學,none,"sr,algorithm,engineer,at,changing,ai"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"graduate,student,at,nctu,machine,learning,lab"
asus,none,none,none,none,"Dates Employed
Dec 2008 – Feb 2017",,,,,researcher,none,none,none,none,national chiao tung university,chang gung university,yuan-ze university,"algorithm,research,manager,at,egistec"
emq inc.,emotibot,tsmc,none,none,"Dates Employed
Sep 2016 – Present","Dates Employed
Feb 2016 – Aug 2016","Dates Employed
Sep 2013 – Feb 2016",,,"senior,software,engineer","machine,learning,engineer","software,engineer",none,none,national tsing hua university,國立清華大學,none,"emq,inc,senior,software,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"hello,this,is,chad,from,taiwan,welcome,visit,my,page,dd"
dongsen information technology,智寶科技,chung yuan christian university,taiwan gospel work full-time training,none,"Dates Employed
Nov 2015 – May 2017","Dates Employed
Mar 2015 – Sep 2015","Dates Employed
Aug 2009 – Aug 2010","Dates Employed
Aug 2004 – Aug 2006",,"data,operator",,"research,assistant",trainee,none,national taiwan university,national chiao tung university,chung yuan christian university,"algorithm,engineer,for,big,data"
systex solutions corporation,none,none,none,none,"Dates Employed
Jan 2018 – Present",,,,,"digital,transformation,ai4ia,consultant",none,none,none,none,national cheng kung university,national cheng kung university,national taichung first senior high school,"iot,machine,learning,plm,senior,presale"
none,none,none,none,none,,,,,,none,none,none,none,none,none,none,none,"r,d,algorithm,engineer"
mediatek,台灣大學,none,none,none,"Dates Employed
Nov 2014 – Present","Dates Employed
Sep 2013 – Nov 2014",,,,"rd,engineer","network,manager",none,none,none,national taiwan university,國立清華大學,none,"r,d,engineer,mediatek"
national tsing hua university,none,none,none,none,"Dates Employed
Feb 2018 – Present",,,,,"research,fellow",none,none,none,none,national tsing hua university,shiv nadar university,central school,"deep,learning,practitioner"
national taipei university,none,none,none,none,"Dates Employed
Sep 2018 – Present",,,,,"computer,vision,software,engineer",none,none,none,none,none,none,none,"computer,vision,and,machine,learning,software,engineer,ntpu,phd,student"
national chiao tung university,none,none,none,none,"Dates Employed
Sep 2012 – Jul 2016",,,,,student,none,none,none,none,national taiwan university of science and technology,national chiao tung university,national chiao tung university,"a,recruit,about,game,coding,machine,learning,researcher,especially,in,ai,in,games"
"tornado technologies co., ltd.","kpmg advisory services co., ltd. (taiwan)",ogilvy,dentsu aegis network,none,"Dates Employed
Jul 2014 – Sep 2017","Dates Employed
Jul 2015 – Jul 2016","Dates Employed
Mar 2015 – Jun 2015","Dates Employed
Mar 2015 – Jun 2015",,"internet,word,of,mouth,big,data,analyst","internet,public,opinion,analysis,engineer,parttime","internship,advertising","internship,advertising",none,national chengchi university,國立政治大學,none,"hon,hai,precision,industry,co,ltd,big,data,analysis,ai,and,machine,learning,scientist,project,manager"
novatek,utechzone,none,none,none,"Dates Employed
Oct 2014 – Present","Dates Employed
Oct 2011 – Oct 2014",,,,"image,algorithm,engineer","software,engineer",none,none,none,national chiao tung university,none,none,"image,algorithm,engineer,at,novatek"
kaikutek lnc.,none,none,none,none,"Dates Employed
Jul 2017 – Present",,,,,"machine,learning,engineer",none,none,none,none,national taipei university of technology,none,none,"kaikutek,lnc,machine,learning,engineer,project,lead,of,customer,support"
"comsats institute of information technology, sahiwal campus",comsats institute of information technology,none,none,none,"Dates Employed
Feb 2015 – Jan 2018","Dates Employed
2011 – 2015",,,,"lab,engineer","computer,science",none,none,none,national chiao tung university,comsats institute of information and technology,comsats institute of information and technology,"ai,ml,dl,cv,python"
viscovery visual search,none,none,none,none,"Dates Employed
Jul 2014 – May 2018",,,,,"algorithm,engineer",none,none,none,none,national dong hwa university,none,none,"algorithm,engineer"
huawei,king abdullah university of science and technology,changhua county fire department,"academia sinica, taiwan",knowledge is power technology,"Dates Employed
Jun 2019 – Aug 2019","Dates Employed
Nov 2017 – Feb 2018","Dates Employed
Sep 2016 – Sep 2017","Dates Employed
Jul 2015 – Aug 2016","Dates Employed
Apr 2016 – Jul 2016","research,intern","visiting,student","emergency,medical,technician","research,assistant","backend,engineer,intern",king abdullah university of science and technology,king abdullah university of science and technology,national taiwan university,"ph,d,student,machine,learning,engineer"
"md biomedical, inc.",opus microsystems,none,none,none,"Dates Employed
Apr 2017 – May 2020","Dates Employed
Oct 2013 – Mar 2017",,,,"algorithm,engineer","digital,design,engineer",none,none,none,national tsing hua university,national tsing hua university,none,"ai,algorithm,engineer"
